index,Gini-importance
3M_weekly_all_avg,0.19063294921738305
3M_daily_all_avg,0.177705445383261
all_lst30days_vsprvmnth,0.17315067948427962
all_last_day,0.07943296301041732
all_lst30days_vsmax_lst3m,0.07527939117109303
all_lst30days_vsmean_lst3m,0.05647477188885691
all_7days_trend_vs4weeks,0.04292907758597732
all_gtv_last10weeks_w2,0.017487465782323148
all_gtv_last12Months_m1,0.013287806168481445
all_7days_max_thisvs10w,0.013192957851847908
all_gtv_last10weeks_w4,0.009633357827169968
all_gtv_last10weeks_w7,0.009541086135490361
all_gtv_last10weeks_w6,0.008101229293926517
all_gtv_last12Months_m2,0.008082608254367341
all_gtv_last10weeks_w3,0.008069980244082653
all_gtv_last10weeks_w5,0.007728490291881496
all_gap_30days_last_vs_previous,0.007369605150535967
all_mtd_vs_max_lst3M,0.007334487434734944
3M_all_min,0.006368042992826759
all_mrr_vsmax_lst3mnth,0.005127678699768424
all_mtd_vs_mean_lst3M,0.004907737690140358
3M_all_max,0.004853290842346112
all_trend_lst30dvs3M,0.004834266762735864
all_7days_vslast7days,0.004175363865916469
all_mrr_vsmean_lst3mnth,0.003958693428886399
all_mtd_vs_lstmtd,0.0039311266202199475
all_mrr_vslstmnth,0.00392298702892658
3M_all_avg,0.0037889393647317004
all_risk_cm,0.0036702587385472624
all_mrr_vsmin_lst3mnth,0.0033463351069615874
all_7days_vslast_month7days,0.0025420364369175817
all_gtv_last10weeks_w10,0.0024491857245244187
all_trend_mtdvs3M_sameday,0.0024329991729880713
all_mrr_trend_vs6M,0.0018905485706891606
all_mtd_vs_min_lst3M,0.0017773923186214897
all_7days_mean_thisvs4w,0.0016159007493098299
all_last30_dec_count,0.0015826037217391343
all_gtv_last10weeks_w9,0.0014654235084311264
all_lst30days_vsmin_lst3m,0.0014649295886899696
all_7days_trend_vs10weeks,0.0014224047739069025
30days_all_gap_days,0.0013693696089855205
all_gtv_last10weeks_w8,0.0012053372793071043
all_gtv_last10weeks_w1,0.0011230050902689686
all_gtv_last10days_d9,0.0009747298895530344
all_gtv_last12Months_m3,0.0008027670252193119
all_seg,0.0006677444719374324
all_norm_growth_m6,0.0006240327159325536
all_gtv_last10days_d8,0.0006118990905005004
all_consistency_index,0.0006072581454996118
all_highest_seg_last6M,0.0005821828473362569
all_gtv_last10days_d6,0.0005699112325155079
all_7days_min_thisvs4w,0.0005618527299568507
mtd_all_gap_days,0.0005439721487581612
all_gap_mtd_previous_days,0.000518651608579447
12M_all_gap_avg,0.0005150421371636685
3M_all_gap_avg,0.0005079671826394706
all_gtv_last10days_d5,0.0005015097321059748
all_norm_growth_m3,0.0004979876563551304
avg_all_gap_days_d11_20,0.0004806668802817398
all_gtv_last10days_d3,0.00047973300088496347
all_gtv_last10days_d7,0.0004704905907180004
avg_all_gap_days_d21_30,0.00046751323327658026
all_norm_growth_m5,0.0004408828585037445
all_last30_inc_count,0.0004295439591751085
all_norm_growth_m2,0.000405196187709799
all_gtv_last10days_d2,0.0004015668498662717
all_gtv_last10days_d4,0.00039812054027298126
all_norm_growth_m1,0.0003829712161643581
avg_all_gap_days_d1_10,0.00038057843680686007
all_gap_days_d20_31_thisvsprev,0.0003681837448371048
all_gtv_last12Months_m4,0.0003499427299253801
all_ystrday_vsmean10d,0.0003315722960804622
7days_all_gap_days,0.0003265997778299319
all_norm_growth_m4,0.0003105370962780032
all_gap_7days_last_vs_previous,0.0003002784020974829
all_gap_days_d1_10_thisvsprev,0.000296521290055758
all_gap_days_d11_20_thisvsprev,0.0002835825248344435
all_ystrday_vsmin10d,0.0002790034405980094
all_ystrday_trend_vs10d,0.0002696867055072665
all_gtv_last12Months_m6,0.00025417565107237655
all_ystrday_vsdaybfr,0.00024311961905363973
all_gtv_last12Months_m5,0.00023984607200196027
all_gtv_last10days_d1,0.00023675469647144553
all_gtv_last12Months_m8,0.0002295933805326115
all_gtv_last12Months_m7,0.0001874244135797615
all_gtv_last12Months_m9,0.00018446618803702285
all_gtv_last12Months_m10,0.00016685138296279665
all_gtv_last12Months_m12,0.0001620971834495615
all_gtv_last12Months_m11,0.00013879349893053188
all_norm_growth_index_last,0.00012188244155747743
all_growth_index,0.00011846397246756342
all_last30_stable,0.00011564126162950643
