index,Gini-importance
3M_daily_all_avg,0.24378706798014832
all_lst30days_vsprvmnth,0.16275211411132698
all_lst30days_vsmax_lst3m,0.12819713400249813
all_last_day,0.0905278735887026
3M_weekly_all_avg,0.060436769212333506
all_lst30days_vsmean_lst3m,0.050147634143783246
all_7days_trend_vs4weeks,0.03298561110360775
all_gtv_last10weeks_w2,0.030981458373237996
all_gtv_last10weeks_w7,0.030558710121825833
all_gap_30days_last_vs_previous,0.015848195140087874
all_gtv_last12Months_m1,0.01318414773653723
all_gtv_last10weeks_w6,0.012624211575925815
all_trend_mtdvs3M_sameday,0.012438651349377931
all_gtv_last12Months_m2,0.011895937818776762
all_gtv_last10weeks_w4,0.011318112229707305
all_mtd_vs_max_lst3M,0.009480951911645101
all_gtv_last10weeks_w5,0.008908931185667929
all_mrr_vslstmnth,0.008198889910711316
all_mtd_vs_lstmtd,0.007920236552771813
3M_all_min,0.006943358752376578
3M_all_max,0.006304121385451149
all_7days_vslast7days,0.005923019926986306
all_7days_max_thisvs10w,0.005769069823125867
all_gtv_last10weeks_w3,0.005607796339135402
all_mrr_vsmean_lst3mnth,0.004670683509273058
all_mtd_vs_mean_lst3M,0.003996781369368338
all_trend_lst30dvs3M,0.002879091800201446
all_mrr_vsmax_lst3mnth,0.0019288318190198302
all_last30_dec_count,0.0017021671567057845
all_gtv_last10weeks_w9,0.0016867257866382968
all_mrr_trend_vs6M,0.0015816908090498939
all_7days_vslast_month7days,0.0015417364299862408
all_7days_mean_thisvs4w,0.0009662356076890136
all_risk_cm,0.000923506249766595
all_mtd_vs_min_lst3M,0.0008081542724712818
all_seg,0.0006456882549546269
all_7days_trend_vs10weeks,0.0006025585530915678
all_gtv_last10days_d6,0.0005421892890651199
all_norm_growth_m5,0.0004326879094785825
all_norm_growth_m6,0.0002596108637663192
all_gtv_last12Months_m6,0.0002551356085351685
all_gtv_last10days_d9,0.00018903286558906944
3M_all_gap_avg,0.00016855351231889407
mtd_all_gap_days,0.00015548772350716994
12M_all_gap_avg,0.000146774015017442
all_highest_seg_last6M,0.00014643194862754211
all_gtv_last10weeks_w10,0.00014159642661822717
3M_all_avg,0.00013809429830018857
all_norm_growth_index_last,0.00012867283404506124
avg_all_gap_days_d11_20,8.236544371791471e-05
all_norm_growth_m2,6.583881598527874e-05
all_gtv_last10weeks_w8,5.8456323073448085e-05
all_gtv_last10days_d5,5.804883630915362e-05
all_lst30days_vsmin_lst3m,5.14458125763692e-05
all_gtv_last10weeks_w1,4.9202671975687145e-05
all_norm_growth_m4,4.834297051869976e-05
avg_all_gap_days_d1_10,4.40989318761073e-05
30days_all_gap_days,3.924154296620222e-05
all_gap_days_d1_10_thisvsprev,3.6943018908547466e-05
all_ystrday_vsmin10d,3.5911581857462604e-05
all_ystrday_vsdaybfr,1.9696063097712523e-05
all_ystrday_vsmean10d,1.962550464876257e-05
all_gtv_last12Months_m11,7.341184772536563e-06
all_gtv_last12Months_m9,3.0551624387988943e-06
all_gtv_last12Months_m8,2.2629464437887643e-06
all_gtv_last10days_d2,0.0
all_gap_days_d11_20_thisvsprev,0.0
all_gap_days_d20_31_thisvsprev,0.0
all_gtv_last10days_d3,0.0
all_gtv_last10days_d4,0.0
all_7days_min_thisvs4w,0.0
7days_all_gap_days,0.0
all_gap_7days_last_vs_previous,0.0
all_gtv_last10days_d7,0.0
all_gtv_last10days_d8,0.0
all_gtv_last10days_d1,0.0
all_last30_stable,0.0
all_gtv_last12Months_m12,0.0
all_last30_inc_count,0.0
all_gtv_last12Months_m10,0.0
all_gtv_last12Months_m7,0.0
all_gtv_last12Months_m5,0.0
all_gtv_last12Months_m4,0.0
all_gtv_last12Months_m3,0.0
all_gap_mtd_previous_days,0.0
all_ystrday_trend_vs10d,0.0
all_consistency_index,0.0
all_mrr_vsmin_lst3mnth,0.0
avg_all_gap_days_d21_30,0.0
all_norm_growth_m1,0.0
all_growth_index,0.0
all_norm_growth_m3,0.0
