index,Gini-importance
3M_weekly_all_avg,0.1731227948027985
3M_daily_all_avg,0.1675055883509343
all_lst30days_vsprvmnth,0.16413119557513775
all_last_day,0.07375549227657287
all_lst30days_vsmax_lst3m,0.07020699445765614
all_lst30days_vsmean_lst3m,0.04619770609304785
all_7days_trend_vs4weeks,0.041522701689258194
all_gtv_last10weeks_w2,0.01820547751092832
all_7days_max_thisvs10w,0.013202468879807343
all_gtv_last12Months_m1,0.012439869852315178
all_gtv_last10weeks_w4,0.0110588077664792
all_gtv_last10weeks_w7,0.010525469797743398
3M_all_min,0.010042742623762077
all_gtv_last10weeks_w3,0.010001610941208858
all_gtv_last10weeks_w6,0.00926162287190774
all_gtv_last10weeks_w5,0.008621822961637772
all_gtv_last12Months_m2,0.008010080257252352
all_gap_30days_last_vs_previous,0.007907046104273684
all_mtd_vs_max_lst3M,0.00781563660749272
all_trend_lst30dvs3M,0.005713413642650327
3M_all_max,0.005605585235220388
all_trend_mtdvs3M_sameday,0.005574894430777931
all_mrr_vsmax_lst3mnth,0.005510541651022172
all_7days_vslast7days,0.005226274013312773
all_mtd_vs_mean_lst3M,0.00490504340926962
all_mrr_vsmin_lst3mnth,0.004447775775175502
all_mrr_vslstmnth,0.004271613017010939
3M_all_avg,0.004144454880722387
all_mtd_vs_lstmtd,0.004086834238414303
all_mrr_vsmean_lst3mnth,0.003581067876727948
all_risk_cm,0.003285198035773249
all_7days_vslast_month7days,0.0031580437609040994
all_gtv_last10weeks_w8,0.003074829768144206
all_gtv_last10weeks_w10,0.0030587222890341302
all_mtd_vs_min_lst3M,0.002980239668844925
all_mrr_trend_vs6M,0.0028906177485401984
all_7days_trend_vs10weeks,0.002813082084621493
all_7days_mean_thisvs4w,0.0024955394418877917
all_gtv_last10weeks_w9,0.002387911136717549
all_lst30days_vsmin_lst3m,0.002283634513767159
all_last30_dec_count,0.0021317321165059567
30days_all_gap_days,0.0021149258492715916
all_gtv_last10weeks_w1,0.0020001520017728287
all_gtv_last10days_d9,0.0016842385122462537
all_consistency_index,0.0015227499572769963
all_7days_min_thisvs4w,0.0015003845218103712
12M_all_gap_avg,0.0014456870124545977
all_gap_mtd_previous_days,0.0013826748177683454
avg_all_gap_days_d21_30,0.0013800592447410977
all_gtv_last10days_d8,0.0013563135641618041
all_norm_growth_m3,0.0013473366504937882
avg_all_gap_days_d11_20,0.001346476894368722
all_seg,0.0013184692585590794
all_norm_growth_m1,0.001240717138921718
all_gtv_last10days_d6,0.001233376736525678
all_norm_growth_m5,0.0012231832674853768
all_gtv_last12Months_m3,0.001192989639123258
all_norm_growth_m6,0.001191174894532641
all_gap_days_d11_20_thisvsprev,0.0011793405702342022
all_highest_seg_last6M,0.0011792494356882212
3M_all_gap_avg,0.0011703127375760943
all_norm_growth_m2,0.001169398966096979
mtd_all_gap_days,0.0011477246549104017
all_gtv_last10days_d5,0.00113477479864235
all_gtv_last10days_d3,0.0011106645460347742
all_gap_days_d1_10_thisvsprev,0.0010774973662966783
all_gtv_last10days_d7,0.0010693466031255641
avg_all_gap_days_d1_10,0.0010682638026018464
all_gap_days_d20_31_thisvsprev,0.0010366370136660073
all_gtv_last10days_d2,0.0009913317828143405
all_gtv_last10days_d4,0.0009868264870960917
all_norm_growth_m4,0.0009616386389713742
all_last30_inc_count,0.0009167844943249695
all_gtv_last12Months_m4,0.0009033857792672388
all_ystrday_trend_vs10d,0.000899399102940296
all_ystrday_vsmin10d,0.0008290564955006611
all_ystrday_vsdaybfr,0.0008146604326275255
all_ystrday_vsmean10d,0.000799303112805886
all_gtv_last12Months_m6,0.0007950831432173586
all_gtv_last12Months_m5,0.0007936108434402346
all_gap_7days_last_vs_previous,0.0007306241681043168
all_gtv_last12Months_m7,0.0006266384481823224
all_gtv_last10days_d1,0.0005893126205588914
all_gtv_last12Months_m8,0.0005886433548275517
all_gtv_last12Months_m9,0.0005839076210449861
7days_all_gap_days,0.0005531615292958357
all_norm_growth_index_last,0.000487982160726308
all_gtv_last12Months_m12,0.00048734286852514984
all_gtv_last12Months_m10,0.0004721407121988347
all_gtv_last12Months_m11,0.0004641204604278758
all_last30_stable,0.0004496863146008228
all_growth_index,0.00028906081685464203
